Namespace,Addon Group,Addon Name,Image Name,Image Version
default,app-admin,app-admin,app-admin,v0.2.6
default,cargo-admin,cargo-admin,cargo-admin,v0.3.3
default,cargo-admin,mongo,mongo,v3.0.15
default,clever,clever-web,clever-web,v2.1.2
default,clever,kubeflow-admin,kubeflow-admin,v0.3.0
default,clever,mysql,mysql,5.7.14
default,clever,postgres,postgres,10-alpine
default,clever,redis,redis,3.0.3
default,clever,storage-manager,storage-manager,v1.4.1
default,cluster-admin,cluster-admin,cluster-admin,v1.1.0-alpha.0
default,cluster-admin,cluster-controller,cluster-controller,v1.1.0-alpha.0
default,cluster-admin,cluster-machine,cluster-machine-controller,v1.1.0-alpha.0
default,cluster-admin,mongo,mongo,v3.0.15
default,cluster-alerting,alert-notifier,alert-notifier,v0.4.1
default,cluster-alerting,alertmanager,alertmanager,v0.6.2
default,config-admin,config-admin,config-admin,v0.1.7
default,config-admin,config-gc,config-gc,v0.1.5
default,config-admin,config-sync,config-sync,v0.1.6
default,config-admin,mongo,mongo,v3.0.15
default,console-web,console-web,console-web,v3.1.38
default,console-web,mongo,mongo,v3.0.15
default,console-web,redis,redis,3.0.3
default,cyclone,cyclone-server,cyclone-server,v0.5.0-beta.0
default,cyclone,mongo,mongo,v3.0.15
default,devops-admin,devops-admin,devops-admin,v0.4.0-beta.0
default,devops-admin,mongo,mongo,v3.0.15
default,dex-cauth,caidex,caidex,v0.0.1
default,dex-cauth,cauth,cauth,v2.1.0-alpha.4
default,dex-cauth,mongo,mongo,v3.0.15
default,dex-cauth,postgres,postgres,9.5.8
default,gitbook,gitbook,gitbook,v2.4.0
default,helm,helm-registry,helm-registry,v0.2.0
default,helm,helm-registry,charts,v1.2.0-alpha.1
default,hodor,hodor,hodor,v1.0.0-alpha.9
default,kubernetes-admin,kubernetes-admin,kubernetes-admin,v1.1.5
default,kubernetes-admin,mongo,mongo,v3.0.15
default,loadbalancer-admin,loadbalancer-admin,loadbalancer-admin,v0.3.6
default,logging-admin,logging-admin,logging-admin,v2.0.1
default,monitoring-admin,mongo,mongo,v3.0.15
default,monitoring-admin,monitoring-admin,monitoring-admin,v0.5.2
default,notify-admin,notify-admin,notify-admin,v0.0.4
default,notify-admin,postgres,postgres,10.1-alpine
default,open-api,open-api,open-api,v0.0.1
default,statistician,statistician,statistician,v0.0.7
default,storage-admin,storage-admin,storage-admin,v0.1.9
default,storage-admin,storage-admin-controller,storage-admin-controller,v0.1.9
default,tenant-admin,tenant-admin,tenant-admin,v1.1.0-alpha.1
kube-system,canary-release,canary-controller,canary-controller,v0.2.0
kube-system,cluster-addon,cluster-addon,cluster-addon,v1.1.0-alpha.0
kube-system,cluster-logging,elasticsearch,elasticsearch,v5.6.3
kube-system,cluster-logging,elasticsearch-exporter,elasticsearch_exporter,1.0.1
kube-system,cluster-logging,eventer,eventer,v0.0.3
kube-system,cluster-logging,fluentd-elasticsearch,fluentd-elasticsearch,v2.0.1
kube-system,cluster-logging,kibana-logging,kibana,5.6.3
kube-system,cluster-monitoring,caicloud-metrics-server,caicloud-metrics-server,v0.1.0
kube-system,cluster-monitoring,grafana,grafana,4.1.1
kube-system,cluster-monitoring,grafana,grafana-setup-tool,v0.3.2
kube-system,cluster-monitoring,heapster,heapster,v1.2.0-v0.0.3
kube-system,cluster-monitoring,kube-state-metrics,kube-state-metrics,release-v1.1.0
kube-system,cluster-monitoring,node-exporter,node-exporter,v0.14.0
kube-system,cluster-monitoring,prometheus,prometheus,release-v2.1.0
kube-system,cluster-monitoring,prometheus,prom-reloader,v0.0.1
kube-system,cluster-monitoring,monitoring-operator,monitoring-operator,v0.0.1
kube-system,cluster-monitoring,app-exporter,app-exporter,v0.0.1
kube-system,config-controller,config-admission,config-admission,v0.1.6
kube-system,config-controller,config-reference,config-reference,v0.1.6
kube-system,controller-manager,caicloud-controller-manager,controller-manager,v1.2.2
kube-system,exporters,exporter-gpu-daemonset,exporter-gpu,v0.1.2
kube-system,loadbalancer-controller,loadbalancer-controller,loadbalancer-controller,v0.3.3
kube-system,storage-controller,storage-admission,storage-admission,v0.1.6
kube-system,storage-controller,storage-controller,storage-controller,v0.1.6
kube-system,tenant-controller,tenant-controller,tenant-controller,v1.1.0-alpha.1
